FID IID Height
1054 521 NA
1054 522 -1.72218064327832
3152 523 0.111498596922984
834 524 0.020928590112927
834 525 NA
1218 526 -1.01952585938757
1588 527 0.171402600023064
2004 528 -1.54983003763181
1440 529 0.24330244579119
641 530 -0.451642546561824
835 531 -1.45572462427021
835 532 NA
3816 533 0.0132899808643754
1745 534 -0.420454985231984
206 535 -0.398700569173417
1441 536 -0.685203956068984
1441 537 NA
3153 538 0.305677568450871
4041 539 -0.322502000575058
3982 540 1.33849340870281
2414 541 0.595611357251081
2647 542 -0.883522625580608
836 543 -1.50059200321167
836 544 NA
1055 545 -0.64884710335993
2648 4314 0.439815915180252
1273 546 -0.676889778494442
2649 547 0.576527903343666
1972 548 -0.955428214228683
837 549 0.547674298152364
2650 550 0.370364125318463
2650 551 NA
2873 552 0.772921530084982
1512 553 NA
1512 554 -0.597765158065885
579 555 -0.161610580774444
579 556 NA
2503 557 -0.661933985513954
2503 558 NA
2005 559 NA
2005 560 -0.32637457182294
207 561 -0.643837330087026
3884 562 0.73974396006385
1746 563 NA
1746 564 1.32086054337087
3572 565 NA
3572 566 1.07579420831217
2504 567 -1.72168988352106
1056 568 1.5544334482122
838 569 0.221787715028117
829 570 -1.36265270003795
2344 571 1.42120634715831
274 572 0.159645805119537
354 573 NA
354 574 1.44327131296741
580 575 NA
580 576 0.799665283937245
2505 577 0.280013825610918
2386 578 0.892764177831773
1589 579 -0.0586156077836992
1442 580 0.197819185478759
2006 581 -0.259894310166959
839 582 0.724984470986266
2651 583 0.9981687620176
2874 584 0.0568813844369643
2383 585 -1.39736888757137
840 586 -0.300612337485193
2457 587 -0.398940254468911
2875 588 -0.907491155129966
695 589 1.20101789562408
2007 590 -1.76386025907009
1219 591 0.320535209479904
1443 592 0.280013825610918
117 593 0.324880865006032
2652 594 -2.02837317009015
2652 595 NA
1973 596 -1.10096191402403
2653 597 NA
1183 598 -1.50120788458264
3573 601 0.578076643870591
1444 602 -0.562827297288423
3365 603 -1.04349438893692
2008 604 NA
2008 605 -0.260581373827118
47 606 1.7003327861511
2009 607 1.90784900080033
1590 608 NA
1590 609 -0.386295895696335
3366 610 NA
3366 611 0.134896477292191
3574 612 NA
3574 613 NA
3574 614 0.763712489613208
3574 615 NA
3154 616 -0.685902515063312
3003 617 0.08519556951245
2876 618 NA
2876 619 0.707032777366742
955 620 -0.288628072710514
347 621 0.66997074468544
1210 622 0.494972006059451
741 623 -0.729333887687177
3704 624 NA
3704 625 -1.20882029699615
956 626 -1.19475189102521
956 627 NA
3967 628 -1.07527086197547
2787 629 -1.6742435841796
957 630 -0.356455492024551
957 631 NA
958 632 -0.356455492024551
959 633 1.13966850510584
1991 634 -1.01419986028813
960 635 -1.00923714744983
470 636 NA
470 637 0.52074986659368
471 638 0.130678829824881
2372 639 -1.01534953810208
472 640 -1.39273362023956
3485 641 -2.03082696887643
2788 642 0.338391348377009
961 643 0.128367395616969
2639 644 -0.372517926133268
3468 645 0.816093356189502
1858 646 0.931492196458715
4062 647 0.731106381465018
254 648 -0.986026863849813
962 649 0.0688656492116434
232 650 -0.255129077172762
2640 651 NA
2640 652 0.792124826640143
2640 653 NA
2124 654 0.07538819077557
2789 655 0.197819185478759
2373 656 0.362359877926368
2394 657 -0.518640537637328
129 658 1.00538779379808
3705 659 -2.23139163793727
1713 1518 -0.181027450132731
2125 1519 -1.13691470834807
3264 1520 0.0420237434079305
1615 1521 0.26568837812699
2292 1522 0.674735977679638
2126 1523 1.14733929687793
2790 1524 -0.92841697418433
4000 1525 0.500299181100091
3265 1526 -2.92228543061851
726 1527 -0.667805859636385
